,model,period,conf,bitrate_start_incl,bitrate_end_excl,abs_value,abs_min_approx_rb,percentage,percentage_min_approx_rb
51,after,15,0.9,8500,9000,1005.3279183092693,603.0,12.913830423483777,7.639680729760548
52,after,15,0.95,8500,9000,1070.3279183092693,603.0,13.765920756992486,7.639680729760548
53,after,15,0.97,8500,9000,1096.327918309269,603.0,14.106756890395971,7.639680729760548
54,after,15,0.9,9000,9500,1005.3279183092693,603.0,12.913830423483777,7.639680729760548
55,after,15,0.95,9000,9500,1070.3279183092693,603.0,13.765920756992486,7.639680729760548
56,after,15,0.97,9000,9500,1096.327918309269,603.0,14.106756890395971,7.639680729760548
57,after,15,0.9,9500,10000,1005.3279183092693,603.0,12.913830423483777,7.639680729760548
58,after,15,0.95,9500,10000,1070.3279183092693,603.0,13.765920756992486,7.639680729760548
59,after,15,0.97,9500,10000,1096.327918309269,603.0,14.106756890395971,7.639680729760548
60,after,60,0.9,0,500,98.0,98.0,28.426289899407347,28.426289899407347
61,after,60,0.95,0,500,195.25103927922066,154.0,50.441221188245265,47.081712062256805
62,after,60,0.97,0,500,261.1910392792206,154.0,55.81141393098346,47.081712062256805
63,after,60,0.9,500,1000,137.0,137.0,21.517518720395326,21.517518720395326
64,after,60,0.95,500,1000,167.0,167.0,26.98461725838291,26.98461725838291
65,after,60,0.97,500,1000,195.0,195.0,32.226268108707835,32.226268108707835
66,after,60,0.9,1000,1500,191.0,191.0,18.59945145245074,18.59945145245074
67,after,60,0.95,1000,1500,234.0,234.0,23.37033850269676,23.37033850269676
68,after,60,0.97,1000,1500,269.2519809850822,269.2519809850822,27.478887941295202,27.478887941295202
69,after,60,0.9,1500,2000,244.0,244.0,16.642597080952427,16.642597080952427
70,after,60,0.95,1500,2000,301.85131645620095,301.85131645620095,20.92457800035107,20.92457800035107
71,after,60,0.97,1500,2000,368.69131645620115,368.69131645620115,26.943092139972187,26.943092139972187
